movie_title,year,universe,source,rating,date,text,language,sentiment
Avengers: Endgame,2019,Marvel,IMDb,4,2019-01-16,Una conclusión épica que hace justicia a todos los personajes. Visualmente impresionante y emocionalmente satisfactoria. 4/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,2,2019-11-06,Obra maestra del cine de superhéroes. La narrativa y el desarrollo de personajes son excepcionales. Definitivamente vale la pena verla varias veces. 2/10.,en,positiva
Avengers: Endgame,2019,Marvel,IMDb,6,2019-07-10,Una conclusión épica que hace justicia a todos los personajes. Visualmente impresionante y emocionalmente satisfactoria. 6/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,3,2019-11-24,"Cumple con lo esperado, ni más ni menos. Buena para pasar el rato pero no revoluciona nada. 3/10.",en,neutral
Avengers: Endgame,2019,Marvel,IMDb,4,2019-01-24,Superó todas mis expectativas. Los momentos emotivos están perfectamente balanceados con la acción. 4/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,7,2019-07-25,Una experiencia cinematográfica que no olvidaré. La dirección y la música complementan perfectamente la historia. 7/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,3,2019-08-22,Una experiencia cinematográfica que no olvidaré. La dirección y la música complementan perfectamente la historia. 3/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,6,2019-06-13,Superó todas mis expectativas. Los momentos emotivos están perfectamente balanceados con la acción. 6/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,5,2019-09-13,Demasiado predecible y formulaica. Esperaba más innovación de una película tan anticipada. 5/10.,en,negativa
Avengers: Endgame,2019,Marvel,IMDb,4,2019-09-20,Obra maestra del cine de superhéroes. La narrativa y el desarrollo de personajes son excepcionales. Definitivamente vale la pena verla varias veces. 4/10.,en,positiva
Avengers: Endgame,2019,Marvel,IMDb,4,2019-06-18,Una conclusión épica que hace justicia a todos los personajes. Visualmente impresionante y emocionalmente satisfactoria. 4/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,10,2019-02-08,No entiendo por qué a tanta gente le gusta. Los personajes toman decisiones ilógicas y el ritmo es inconsistente. 10/10.,en,negativa
Avengers: Endgame,2019,Marvel,IMDb,7,2019-10-03,Una experiencia cinematográfica que no olvidaré. La dirección y la música complementan perfectamente la historia. 7/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,3,2019-06-15,Superó todas mis expectativas. Los momentos emotivos están perfectamente balanceados con la acción. 3/10.,es,positiva
Avengers: Endgame,2019,Marvel,IMDb,6,2019-09-04,Una conclusión épica que hace justicia a todos los personajes. Visualmente impresionante y emocionalmente satisfactoria. 6/10.,en,positiva
Avengers: Endgame,2019,Marvel,IMDb,4,2019-08-13,Técnicamente competente pero le falta algo de alma. No me arrepiento de haberla visto. 4/10.,en,neutral
Avengers: Endgame,2019,Marvel,IMDb,8,2019-08-14,"Cumple con lo esperado, ni más ni menos. Buena para pasar el rato pero no revoluciona nada. 8/10.",en,neutral
Avengers: Endgame,2019,Marvel,IMDb,3,2019-09-23,"Una adición decente a la saga, aunque no destaca particularmente. 3/10.",en,neutral
Avengers: Endgame,2019,Marvel,IMDb,5,2019-05-01,Una oportunidad perdida. Podría haber sido mucho mejor con un guion más trabajado. 5/10.,es,negativa
